,Experiment name:,Verde_25
Duration:,5 Seconds
Rate:,100 per second
Sensors:,Colorimeter (ID 1  Exp 1)
Range:,Blue Abs
Units:,abs
Time
'3.88578058619e-16,0.49
'0.01,0.49
'0.02,0.49
'0.03,0.49
'0.04,0.49
'0.05,0.49
'0.06,0.49
'0.07,0.49
'0.08,0.49
'0.09,0.49
'0.1,0.49
'0.11,0.49
'0.12,0.49
'0.13,0.49
'0.14,0.49
'0.15,0.49
'0.16,0.49
'0.17,0.49
'0.18,0.49
'0.19,0.49
'0.2,0.49
'0.21,0.49
'0.22,0.49
'0.23,0.49
'0.24,0.49
'0.25,0.49
'0.26,0.49
'0.27,0.49
'0.28,0.49
'0.29,0.49
'0.3,0.49
'0.31,0.49
'0.32,0.49
'0.33,0.49
'0.34,0.49
'0.35,0.49
'0.36,0.49
'0.37,0.49
'0.38,0.49
'0.39,0.49
'0.4,0.49
'0.41,0.49
'0.42,0.49
'0.43,0.49
'0.44,0.49
'0.45,0.49
'0.46,0.49
'0.47,0.49
'0.48,0.49
'0.49,0.49
'0.5,0.49
'0.51,0.49
'0.52,0.49
'0.53,0.49
'0.54,0.49
'0.55,0.49
'0.56,0.49
'0.57,0.49
'0.58,0.49
'0.59,0.49
'0.6,0.49
'0.61,0.49
'0.62,0.49
'0.63,0.49
'0.64,0.49
'0.65,0.49
'0.66,0.49
'0.67,0.49
'0.68,0.49
'0.69,0.49
'0.7,0.49
'0.71,0.49
'0.72,0.49
'0.73,0.49
'0.74,0.49
'0.75,0.49
'0.76,0.49
'0.77,0.49
'0.78,0.49
'0.79,0.49
'0.8,0.49
'0.81,0.49
'0.82,0.49
'0.83,0.49
'0.84,0.49
'0.85,0.49
'0.86,0.49
'0.87,0.49
'0.88,0.49
'0.89,0.49
'0.9,0.49
'0.91,0.49
'0.92,0.49
'0.93,0.49
'0.94,0.49
'0.95,0.49
'0.96,0.49
'0.97,0.49
'0.98,0.49
'0.99,0.49
'1.0,0.49
'1.01,0.49
'1.02,0.49
'1.03,0.49
'1.04,0.49
'1.05,0.49
'1.06,0.49
'1.07,0.49
'1.08,0.49
'1.09,0.49
'1.1,0.49
'1.11,0.49
'1.12,0.49
'1.13,0.49
'1.14,0.49
'1.15,0.49
'1.16,0.49
'1.17,0.49
'1.18,0.49
'1.19,0.49
'1.2,0.49
'1.21,0.49
'1.22,0.49
'1.23,0.49
'1.24,0.49
'1.25,0.49
'1.26,0.49
'1.27,0.49
'1.28,0.49
'1.29,0.49
'1.3,0.49
'1.31,0.49
'1.32,0.49
'1.33,0.49
'1.34,0.49
'1.35,0.49
'1.36,0.49
'1.37,0.49
'1.38,0.49
'1.39,0.49
'1.4,0.49
'1.41,0.49
'1.42,0.49
'1.43,0.49
'1.44,0.49
'1.45,0.49
'1.46,0.49
'1.47,0.49
'1.48,0.49
'1.49,0.49
'1.5,0.49
'1.51,0.49
'1.52,0.49
'1.53,0.49
'1.54,0.49
'1.55,0.49
'1.56,0.49
'1.57,0.49
'1.58,0.49
'1.59,0.49
'1.6,0.49
'1.61,0.49
'1.62,0.49
'1.63,0.49
'1.64,0.49
'1.65,0.49
'1.66,0.49
'1.67,0.49
'1.68,0.49
'1.69,0.49
'1.7,0.49
'1.71,0.49
'1.72,0.49
'1.73,0.49
'1.74,0.49
'1.75,0.49
'1.76,0.49
'1.77,0.49
'1.78,0.49
'1.79,0.49
'1.8,0.49
'1.81,0.49
'1.82,0.49
'1.83,0.49
'1.84,0.49
'1.85,0.49
'1.86,0.49
